Year,Season,SITE,Type,TEMP,DEPTH,Urchin_Density,Prop_urchins_exp,Gonad Index,Test_Diameter,Stipe_Density,Stipe_total,Log+1_PUR_Density,Residual_Prop_urchins_exp
2017,Summer,REF_003,REF,,6,3.8125,0,6.398992531,43.68181818,,,1.5712167,-0.257825171
2017,Summer,REF_004,REF,13,9.1,16.375,0.486695984,,,,,2.855032391,-0.123981522
2017,Summer,REF_005,REF,12,12.1,8.3125,0.669504831,6.094905103,40.83333333,,,2.231357584,0.230242204
2017,Summer,REF_006,REF,15,17.4,1.25,0.140625,1.768013669,40.05555556,,,0.810930216,0.091761959
2017,Summer,REF_007,REF,13,11.4,15.125,0.885771184,7.532576289,37.91304348,,,2.780370863,0.295614142
2017,Summer,REF_008,REF,9,11.7,22.0625,0.960026867,0.493357178,35.21875,,,3.138207922,0.271519538
2017,Summer,REF_009,REF,12,5.6,0.75,0,5.040181721,35.16666667,,,0.559615788,0.020209867
2017,Summer,REF_010,REF,12,14.8,3.4375,0.382986111,4.688308999,37.91666667,,,1.490091155,0.147458018
2017,Summer,REF_012,REF,14,8.7,38,0.570740753,5.72852111,35.89473684,,,3.663561646,-0.262158244
2017,Summer,REF_014,REF,16,10.1,20.6875,0.883316382,6.784842242,40.79661017,,,3.076736058,0.211704384
2017,Summer,REF_015,REF,13,6.2,4.1875,0,8.771128779,38.7,,,1.646251886,-0.278448334
2017,Summer,REF_016,REF,12,11.2,15.9375,0.687372964,5.205798511,41.06060606,,,2.829530099,0.083704676
2017,Summer,REF_017,REF,12,20.3,1,0.260416667,2.951857742,42.23076923,,,0.693147181,0.243925889
2017,Summer,REF_019,REF,14,12.7,7.4375,0.753176991,5.548750241,39.71875,,,2.132686056,0.341033895
2017,Summer,REF_020,REF,14,5.6,2.6875,0.004807692,9.809284805,45.25,,,1.304948722,-0.179834639
2017,Summer,REF_021,REF,12,13.4,15.875,0,1.137282356,34.76891892,,,2.825833237,-0.602652219
2017,Summer,REF_022,REF,12,7.2,21.9375,0.337826782,3.472679301,33.22857143,,,3.132773126,-0.349186811
2017,Summer,REF_024,REF,15,4.9,0.9375,0,6.775372453,37.48275862,,,0.661398482,-0.007764757
2017,Summer,REF_025,REF,14,11.8,20.1875,0.94486715,1.579114458,36.875,,,3.053411385,0.279665858
2017,Summer,REF_027,REF,11,13.2,21.4375,0.811430892,3.113457789,38.78125,,,3.110733666,0.130474768
2017,Summer,REF_028,REF,14,10.9,12.125,0.995192308,4.613021046,43.34615385,,,2.574518808,0.461612997
2017,Summer,REF_029,REF,11,15,5.4375,0.547569444,4.14367811,36.5,,,1.862140266,0.20978493
2017,Summer,REF_031,REF,14,11.6,5.6875,0.210508242,6.715048587,35.26470588,,,1.900240112,-0.137747884
2017,Summer,REF_033,REF,11,12.4,8.875,0.566865079,4.505963542,34.9375,,,2.290006311,0.111483052
2017,Summer,REF_034,REF,12,8.8,3.875,0.044852941,5.827348498,37.125,,,1.584120104,-0.216518686
2017,Summer,REF_035,REF,12,12.4,4.125,0.145036765,7.582135644,38.0625,,,1.634130525,-0.130080055
2017,Summer,REF_036,REF,11,12,2.625,0.013888889,5.31866726,32.4,,,1.287854288,-0.166055096
2017,Summer,REF_038,REF,12,17.9,6.3125,0.817212302,2.246575581,38.32258065,,,1.989585213,0.444399981
2017,Summer,REF_039,REF,16,12.2,2.8125,0.016995614,8.257833388,31.35,,,1.338285142,-0.176809118
2017,Summer,REF_042,REF,12,12.9,22.4375,0.471590909,2.636938085,35.53125,,,3.154337304,-0.221349525
2017,Summer,REF_043,REF,12,20,0.8125,0.260416667,1.027281124,31.125,,,0.594707108,0.270981805
2017,Summer,REF_047,REF,12,11.2,27.6875,0.242699124,3.116576767,34.13333333,,,3.356461488,-0.505794448
2017,Summer,REF_048,REF,12,8.7,3.5,0.019176136,6.07576884,36.27272727,,,1.504077397,-0.220196028
2017,Summer,REF_050,REF,9,14.3,19.8125,0.822081182,0.787929495,33.2421875,,,3.035553768,0.161787995
2017,Summer,REF_051,REF,12,9.9,15.875,0.681838681,4.071754432,38,,,2.825833237,0.079186462
2017,Summer,REF_053,REF,16,6.2,13.375,0.151845839,6.023134999,44.34193548,,,2.665490587,-0.406736753
2017,Summer,REF_054,REF,11,14.7,18.75,0.995535714,0.647304394,30.421875,,,2.983153491,0.349644564
2017,Summer,REF_056,REF,14,8.5,7.3125,0.012231183,6.205684109,34.58695652,,,2.117760406,-0.395809649
2017,Summer,REF_058,REF,10,18.6,1.8125,0.226190476,0.831589189,24.78571429,,,1.034073768,0.115997196
2017,Summer,REF_060,REF,13,9.5,2.625,0.053084416,6.762315741,40.83333333,,,1.287854288,-0.126859569
2017,Summer,REF_061,REF,11,11.5,25.6875,0.969337206,3.865118292,37.96388889,,,3.284195291,0.240705751
2017,Summer,REF_063,REF,12,8.5,10.125,0.178552177,5.720640297,35.575,,,2.409194828,-0.309588406
2017,Summer,REF_065,REF,12,8.2,18.625,0.692662686,7.913663751,40.74137931,,,2.976804264,0.048516598
2017,Summer,REF_066,REF,15,6,10.25,0.35155068,14.47615885,46.02083333,,,2.420368129,-0.139660846
2017,Summer,REF_067,REF,14,10.9,12.3125,0.589306007,4.336561688,38.71052632,,,2.588703443,0.051828097
2017,Summer,REF_068,REF,11,6.4,5.9375,0.015625,6.190454016,40.05,,,1.936941479,-0.342718371
2017,Summer,REF_069,REF,11,15,11.375,0.519990079,2.833598435,39.57692308,,,2.515678308,0.002582878
2017,Summer,REF_070,REF,11,15,15,0.92967033,1.764824628,40.92105263,,,2.772588722,0.341652183
2017,Summer,REF_071,REF,13,9.1,1.9375,0.049107143,5.650896422,39.66666667,,,1.077558879,-0.073037871
2017,Summer,REF_072,REF,12,5.2,2.3125,0,8.983140473,35.88888889,,,1.197703191,-0.155166265
2017,Summer,REF_073,REF,11,15.8,5.5625,0.497321429,2.851397527,40.4,,,1.881371628,0.15425124
2017,Summer,REF_075,REF,13,13.3,22.5,0.977628968,0.842167056,36.23076923,,,3.157000421,0.283956586
2017,Summer,REF_076,REF,15,6.5,9.375,0.020833333,7.015221706,41.03846154,,,2.339399066,-0.448124124
2017,Summer,REF_081,REF,14,19.6,4.5,0.569730392,4.427081279,43.09615385,,,1.704748092,0.275204576
2017,Summer,REF_082,REF,11,10.3,35.1875,0.985127005,3.807296167,36.67105263,,,3.588713755,0.172799695
2017,Summer,REF_083,REF,11,19.8,0.5,0.09375,1.426177359,27.58333333,,,0.405465108,0.156327652
2017,Summer,REF_084,REF,12,6.1,1,0,2.840525741,36.31666667,,,0.693147181,-0.016490778
2017,Summer,REF_085,REF,12,15,10.0625,0.869926948,2.991575655,39.6025641,,,2.40356101,0.383334801
2017,Summer,REF_086,REF,12,8.4,9.0625,0.19438244,4.855199532,39.64285714,,,2.308815643,-0.266169268
2017,Summer,REF_087,REF,12,8,27.3125,0,4.1659808,37.1,,,3.343303403,-0.744877118
2017,Summer,REF_090,REF,11,12.1,17.1875,0.929156322,7.386180122,31.32407407,,,2.900734545,0.305917735
2017,Summer,REF_091,REF,11,11.8,7.25,0.189230388,4.909123903,38.02173913,,,2.1102132,-0.216736121
2017,Summer,REF_092,REF,11,15.1,1.6875,0.119047619,3.549107899,31.42857143,,,0.988611393,0.021349516
2017,Summer,REF_094,REF,13,9.9,65.625,0.856143904,6.730381673,42.28333333,,,4.199079882,-0.123940441
2017,Summer,REF_095,REF,12,9.8,21.5625,1,1.517836177,44.64285714,,,3.116289236,0.317516947
2017,Summer,REF_096,REF,16,5.8,1.875,0,8.899511858,35.86363636,,,1.056052674,-0.116234107
2017,Summer,REF_097,REF,13,9.5,3.625,0.048958333,11.26244885,38.6,,,1.531476371,-0.197944345
2017,Summer,REF_099,REF,11,13.1,14.9375,0.930238119,0.752119599,34.7875,,,2.768674823,0.343295694
2017,Summer,REF_100,REF,11,20.4,0.875,0.1875,0.512195942,33.31818182,,,0.628608659,0.188747413
